iter	Passed	Remaining
0	2	224
1	3	192
2	5	178
3	6	166
4	7	146
5	8	139
6	10	133
7	11	133
8	13	133
9	14	133
10	16	133
11	17	130
12	18	126
13	20	127
14	22	126
15	23	122
16	25	122
17	25	117
18	27	117
19	29	116
20	30	115
21	32	114
22	34	113
23	35	112
24	37	111
25	38	108
26	39	106
27	40	104
28	41	101
29	43	100
30	44	99
31	46	98
32	47	97
33	49	95
34	50	94
35	52	93
36	53	90
37	54	88
38	55	87
39	57	86
40	58	84
41	59	82
42	61	81
43	62	79
44	64	78
45	65	77
46	67	75
47	67	73
48	69	72
49	71	71
50	72	69
51	74	68
52	76	67
53	77	66
54	78	64
55	80	63
56	82	61
57	82	60
58	83	58
59	85	57
60	87	55
61	89	54
62	90	53
63	92	52
64	94	50
65	95	49
66	97	47
67	98	46
68	98	44
69	100	43
70	101	41
71	103	40
72	104	38
73	106	37
74	108	36
75	109	34
76	111	33
77	112	31
78	113	30
79	115	28
80	116	27
81	118	26
82	120	24
83	121	23
84	122	21
85	123	20
86	123	18
87	125	17
88	127	15
89	128	14
90	128	12
91	129	11
92	130	9
93	131	8
94	132	6
95	134	5
96	135	4
97	136	2
98	137	1
99	139	0
